Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Goal_Difference,Home_Shot_Accuracy,Away_Shot_Accuracy,Total_Cards
2020-09-12,7,0,0,3,0,5,13,2,6,2,3,12,12,2,2,0,0,-3,0.4,0.46153846153846156,4
2020-09-12,5,15,1,0,2,5,9,3,5,7,3,14,11,2,1,0,0,1,0.6,0.5555555555555556,3
2020-09-12,10,8,4,3,2,22,6,6,3,9,0,9,6,1,0,0,0,1,0.2727272727272727,0.5,1
2020-09-12,18,13,0,2,0,15,15,3,2,8,7,13,7,2,2,0,0,-2,0.2,0.13333333333333333,4
2020-09-13,17,9,0,3,0,7,13,1,7,2,5,12,9,1,1,0,0,-3,0.14285714285714285,0.5384615384615384,2
2020-09-13,16,6,0,1,0,9,15,5,4,5,3,15,7,1,0,0,0,-1,0.5555555555555556,0.26666666666666666,1
2020-09-14,2,4,1,3,0,13,10,3,5,4,3,8,13,1,0,0,0,-2,0.23076923076923078,0.5,1
2020-09-14,14,19,0,2,0,9,11,2,4,12,5,13,7,2,1,0,0,-2,0.2222222222222222,0.36363636363636365,3
2020-09-19,6,17,5,2,2,17,6,7,4,11,1,9,11,1,0,0,1,3,0.4117647058823529,0.6666666666666666,2
2020-09-19,8,7,4,3,2,10,14,7,6,5,3,13,18,1,2,0,0,1,0.7,0.42857142857142855,3
2020-09-19,12,5,1,3,0,13,14,4,5,9,3,13,10,2,1,0,0,-2,0.3076923076923077,0.35714285714285715,3
2020-09-19,0,18,2,1,2,7,14,3,3,7,5,11,13,0,1,0,0,1,0.42857142857142855,0.21428571428571427,1
2020-09-20,15,16,2,5,0,14,9,7,6,3,2,16,18,4,3,0,0,-3,0.5,0.6666666666666666,7
2020-09-20,13,2,0,3,0,6,13,0,6,7,1,16,15,3,0,0,1,-3,0.0,0.46153846153846156,4
2020-09-20,4,10,0,2,0,5,18,3,6,1,11,10,6,0,0,1,0,-2,0.6,0.3333333333333333,1
2020-09-20,9,3,4,2,2,14,16,6,5,15,4,11,13,1,2,0,0,2,0.42857142857142855,0.3125,3
2020-09-21,1,14,1,0,2,18,4,2,1,10,4,12,13,3,1,0,1,1,0.1111111111111111,0.25,5
2020-09-21,19,11,1,3,0,10,14,1,9,4,6,6,8,0,3,0,0,-2,0.1,0.6428571428571429,3
2020-09-26,2,12,2,3,0,18,7,5,3,7,1,18,16,4,2,0,0,-1,0.2777777777777778,0.42857142857142855,6
2020-09-26,5,6,1,2,0,8,10,1,5,7,6,16,15,3,1,0,0,-1,0.125,0.5,4
2020-09-26,17,4,3,3,1,9,22,3,10,3,9,8,16,1,3,0,0,0,0.3333333333333333,0.45454545454545453,4
2020-09-26,3,15,0,1,0,10,5,2,1,8,2,8,10,1,0,0,0,-1,0.2,0.2,1
2020-09-27,14,8,0,1,0,14,17,4,9,5,7,18,4,2,1,0,0,-1,0.2857142857142857,0.5294117647058824,3
2020-09-27,16,13,1,1,1,23,6,12,1,10,4,15,9,1,4,0,0,0,0.5217391304347826,0.16666666666666666,5
2020-09-27,11,9,2,5,0,16,7,5,7,3,4,13,8,1,3,0,0,-3,0.3125,1.0,4
2020-09-27,18,19,4,0,2,15,11,7,2,1,3,7,11,0,1,0,0,4,0.4666666666666667,0.18181818181818182,1
2020-09-28,7,1,0,3,0,16,12,3,5,5,3,18,14,6,3,0,0,-3,0.1875,0.4166666666666667,9
2020-09-28,10,0,3,1,2,21,4,8,3,7,3,11,7,2,2,0,0,2,0.38095238095238093,0.75,4
2020-10-03,4,5,4,0,2,17,4,6,0,8,5,17,13,2,0,0,0,4,0.35294117647058826,0.0,2
2020-10-03,6,2,4,2,2,11,11,6,3,3,10,13,14,0,1,0,0,2,0.5454545454545454,0.2727272727272727,1
2020-10-03,8,11,1,1,1,12,23,7,2,7,10,11,12,2,1,0,0,0,0.5833333333333334,0.08695652173913043,3
2020-10-03,13,3,3,1,2,10,7,5,3,3,4,13,17,2,3,0,0,2,0.5,0.42857142857142855,5
2020-10-04,9,18,0,3,0,4,14,0,6,6,4,11,8,2,2,0,0,-3,0.0,0.42857142857142855,4
2020-10-04,15,17,2,0,2,13,5,7,2,5,1,19,10,2,1,0,0,2,0.5384615384615384,0.4,3
2020-10-04,0,14,2,1,2,6,6,5,2,2,4,3,9,0,1,0,0,1,0.8333333333333334,0.3333333333333333,1
2020-10-04,19,7,1,0,2,14,10,5,2,6,2,15,8,1,1,0,0,1,0.35714285714285715,0.2,2
2020-10-04,12,16,1,6,0,5,22,2,8,2,4,14,10,2,1,1,0,-5,0.4,0.36363636363636365,4
2020-10-04,1,10,7,2,2,18,14,11,8,2,7,7,10,2,1,0,0,5,0.6111111111111112,0.5714285714285714,3
2020-10-17,6,10,2,2,1,11,22,5,8,2,5,15,9,3,2,1,0,0,0.45454545454545453,0.36363636363636365,6
2020-10-17,4,15,3,3,1,11,13,5,6,6,2,11,9,1,1,0,0,0,0.45454545454545453,0.46153846153846156,2
2020-10-17,11,0,1,0,2,13,11,5,3,6,6,15,10,4,1,0,0,1,0.38461538461538464,0.2727272727272727,5
2020-10-17,13,12,1,4,0,7,28,4,14,0,7,9,12,1,1,0,0,-3,0.5714285714285714,0.5,2
2020-10-18,14,7,1,1,1,10,15,6,6,2,5,5,9,0,2,0,0,0,0.6,0.4,2
2020-10-18,5,2,1,1,1,1,20,1,3,2,5,13,12,3,2,0,1,0,1.0,0.15,6
2020-10-18,16,18,3,3,1,11,13,6,4,3,7,13,12,0,5,0,0,0,0.5454545454545454,0.3076923076923077,5
2020-10-18,9,1,0,1,0,11,10,5,4,2,7,18,18,4,3,0,0,-1,0.45454545454545453,0.4,7
2020-10-19,17,3,0,0,1,13,9,6,4,8,2,15,17,2,2,0,0,0,0.46153846153846156,0.4444444444444444,4
2020-10-19,8,19,0,1,0,13,7,2,3,8,3,13,12,2,1,0,0,-1,0.15384615384615385,0.42857142857142855,3
2020-10-23,1,8,0,3,0,12,27,4,9,6,5,14,17,2,2,0,0,-3,0.3333333333333333,0.3333333333333333,4
2020-10-24,18,11,1,1,1,6,14,2,7,2,10,14,6,2,0,0,0,0,0.3333333333333333,0.5,2
2020-10-24,7,5,1,2,0,16,14,3,10,4,4,11,11,0,1,1,0,-1,0.1875,0.7142857142857143,2
2020-10-24,12,4,0,0,1,14,6,4,1,9,6,8,6,3,1,0,0,0,0.2857142857142857,0.16666666666666666,4
2020-10-24,10,14,2,1,2,17,13,5,2,7,3,7,15,0,3,0,0,1,0.29411764705882354,0.15384615384615385,3
2020-10-25,15,6,2,0,2,12,6,6,2,4,5,11,11,1,2,0,1,2,0.5,0.3333333333333333,4
2020-10-25,19,13,1,1,1,16,5,3,2,2,3,10,10,0,1,0,0,0,0.1875,0.4,1
2020-10-25,0,9,0,1,0,12,6,4,2,9,3,13,9,3,5,0,0,-1,0.3333333333333333,0.3333333333333333,8
2020-10-26,2,17,1,1,1,5,9,3,3,6,2,14,7,2,0,0,0,0,0.6,0.3333333333333333,2
2020-10-26,3,16,0,1,0,13,9,4,3,4,5,9,7,2,0,0,0,-1,0.3076923076923077,0.3333333333333333,2
2020-10-30,19,5,2,0,2,15,11,5,2,7,6,13,4,0,2,0,1,2,0.3333333333333333,0.18181818181818182,3
2020-10-31,14,11,0,1,0,5,16,1,8,2,5,14,6,0,0,0,0,-1,0.2,0.5,0
2020-10-31,3,4,0,3,0,5,14,0,9,3,4,10,15,1,0,0,0,-3,0.0,0.6428571428571429,1
2020-10-31,10,18,2,1,2,9,4,5,3,1,2,13,14,0,1,0,0,1,0.5555555555555556,0.75,1
2020-11-01,1,15,3,4,0,19,9,10,4,11,1,12,17,1,2,0,0,-1,0.5263157894736842,0.4444444444444444,3
2020-11-01,13,6,2,1,2,11,15,4,4,5,4,9,10,2,4,0,0,1,0.36363636363636365,0.26666666666666666,6
2020-11-01,12,0,0,1,0,8,7,2,2,6,3,12,12,3,3,0,0,-1,0.25,0.2857142857142857,6
2020-11-01,16,2,2,1,2,9,6,3,2,4,5,14,13,2,1,0,0,1,0.3333333333333333,0.3333333333333333,3
2020-11-02,7,17,2,0,2,13,10,6,1,5,2,13,11,3,2,0,0,2,0.46153846153846156,0.1,5
2020-11-02,8,9,1,4,0,11,10,4,8,10,3,9,5,1,1,0,0,-3,0.36363636363636365,0.8,2
2020-11-06,2,3,0,0,1,19,4,3,1,5,3,11,5,1,0,0,0,0,0.15789473684210525,0.25,1
2020-11-06,15,13,2,0,2,15,4,8,2,8,3,12,11,1,2,0,0,2,0.5333333333333333,0.5,3
2020-11-07,6,12,1,3,0,7,13,1,5,5,2,12,19,4,2,0,0,-2,0.14285714285714285,0.38461538461538464,6
2020-11-07,5,8,4,1,2,10,9,6,3,3,6,9,1,0,2,0,0,3,0.6,0.3333333333333333,2
2020-11-07,4,14,4,1,2,20,6,9,3,6,7,5,14,0,2,0,0,3,0.45,0.5,2
2020-11-07,18,7,1,0,2,16,13,7,3,9,5,10,9,2,2,0,0,1,0.4375,0.23076923076923078,4
2020-11-08,17,16,0,1,0,12,19,2,5,9,6,17,12,1,0,0,0,-1,0.16666666666666666,0.2631578947368421,1
2020-11-08,9,19,1,0,2,10,7,3,2,6,3,12,8,2,3,0,0,1,0.3,0.2857142857142857,5
2020-11-08,11,10,1,1,1,7,10,2,3,1,2,19,11,3,1,0,0,0,0.2857142857142857,0.3,4
2020-11-08,0,1,0,3,0,13,15,2,6,3,8,11,13,0,0,0,0,-3,0.15384615384615385,0.4,0
2020-11-21,13,4,0,2,0,8,14,1,3,7,4,11,12,2,0,0,0,-2,0.125,0.21428571428571427,2
2020-11-21,1,2,1,2,0,15,7,4,3,12,3,5,18,2,1,0,1,-1,0.26666666666666666,0.42857142857142855,4
2020-11-21,16,11,2,0,2,4,22,2,5,0,10,13,19,2,2,0,0,2,0.5,0.22727272727272727,4
2020-11-21,12,17,1,0,2,17,7,7,2,8,2,12,17,1,1,0,0,1,0.4117647058823529,0.2857142857142857,2
2020-11-22,7,6,2,3,0,14,9,6,7,2,5,14,10,2,0,0,0,-1,0.42857142857142855,0.7777777777777778,2
2020-11-22,14,18,0,1,0,9,15,5,3,2,6,7,6,0,0,0,0,-1,0.5555555555555556,0.2,0
2020-11-22,8,0,0,0,1,25,9,4,2,5,3,9,8,3,0,0,1,0,0.16,0.2222222222222222,4
2020-11-22,10,9,3,0,2,24,11,13,4,10,3,15,6,0,2,0,0,3,0.5416666666666666,0.36363636363636365,2
2020-11-23,3,5,1,0,2,10,15,4,5,4,7,13,9,2,0,0,0,1,0.4,0.3333333333333333,2
2020-11-23,19,15,1,1,1,20,7,9,2,7,4,14,13,2,0,0,0,0,0.45,0.2857142857142857,2
2020-11-27,5,13,0,2,0,12,14,3,7,7,3,9,10,2,2,0,0,-2,0.25,0.5,4
2020-11-28,2,10,1,1,1,11,6,3,2,4,3,9,13,2,1,0,0,0,0.2727272727272727,0.3333333333333333,3
2020-11-28,11,3,5,0,2,19,9,6,1,6,4,12,4,0,0,0,0,5,0.3157894736842105,0.1111111111111111,0
2020-11-28,6,8,0,1,0,15,23,8,7,4,2,8,14,1,2,0,0,-1,0.5333333333333333,0.30434782608695654,3
2020-11-28,17,14,1,0,2,17,21,6,5,14,9,10,9,2,3,0,0,1,0.35294117647058826,0.23809523809523808,5
2020-11-29,15,12,2,3,0,10,15,5,6,5,9,12,12,1,0,0,0,-1,0.5,0.4,1
2020-11-29,4,16,0,0,1,13,5,3,1,3,3,20,9,4,2,0,0,0,0.23076923076923078,0.2,6
2020-11-29,0,19,1,2,0,13,11,2,5,8,4,13,13,3,4,0,0,-1,0.15384615384615385,0.45454545454545453,7
2020-11-30,9,7,1,2,0,16,10,3,5,6,5,9,21,0,2,0,0,-1,0.1875,0.5,2
2020-11-30,18,1,2,1,2,6,16,2,6,3,7,20,7,1,1,0,0,1,0.3333333333333333,0.375,2
2020-12-05,3,6,1,1,1,8,13,3,6,8,4,6,9,0,0,0,0,0,0.375,0.46153846153846156,0
2020-12-05,11,7,2,0,2,16,6,6,1,9,3,7,6,0,0,0,0,2,0.375,0.16666666666666666,0
2020-12-05,18,12,1,3,0,19,15,6,6,5,4,9,10,0,0,0,0,-2,0.3157894736842105,0.4,0
2020-12-05,4,8,3,1,2,23,8,11,3,8,4,12,9,0,2,0,0,2,0.4782608695652174,0.375,2
2020-12-06,17,5,1,5,0,9,18,4,6,4,6,10,16,2,2,1,0,-4,0.4444444444444444,0.3333333333333333,5
2020-12-06,14,9,1,2,0,4,13,1,4,6,5,13,6,1,3,0,0,-1,0.25,0.3076923076923077,4
2020-12-06,16,0,2,0,2,6,11,3,2,3,9,16,12,1,2,0,0,2,0.5,0.18181818181818182,3
2020-12-06,10,19,4,0,2,11,9,6,3,4,6,8,14,1,1,0,0,4,0.5454545454545454,0.3333333333333333,2
2020-12-07,2,15,1,2,0,12,10,4,3,4,3,12,12,3,3,0,0,-1,0.3333333333333333,0.3,6
2020-12-11,8,18,1,2,0,13,19,7,8,5,6,12,10,1,2,0,0,-1,0.5384615384615384,0.42105263157894735,3
2020-12-12,19,1,0,1,0,16,13,7,2,5,8,23,15,2,5,0,0,-1,0.4375,0.15384615384615385,7
2020-12-12,13,17,2,1,2,12,13,7,3,4,3,9,12,2,3,0,0,1,0.5833333333333334,0.23076923076923078,5
2020-12-12,12,11,0,0,1,11,9,2,2,4,3,13,6,1,1,0,0,0,0.18181818181818182,0.2222222222222222,2
2020-12-12,6,4,1,0,2,9,10,4,3,6,6,10,11,2,3,0,0,1,0.4444444444444444,0.3,5
2020-12-13,15,14,3,0,2,16,3,6,0,8,4,8,14,0,1,0,0,3,0.375,0.0,1
2020-12-13,5,16,1,1,1,16,14,5,6,4,7,15,11,1,1,0,0,0,0.3125,0.42857142857142855,2
2020-12-13,7,10,1,1,1,10,12,5,6,6,8,9,5,3,1,0,0,0,0.5,0.5,4
2020-12-13,0,3,0,1,0,18,10,6,2,13,4,5,11,2,1,1,0,-1,0.3333333333333333,0.2,4
2020-12-13,9,2,3,0,2,15,12,6,4,9,5,9,11,2,1,0,0,3,0.4,0.3333333333333333,3
2020-12-15,19,4,2,1,2,12,13,4,3,5,6,12,12,2,2,0,0,1,0.3333333333333333,0.23076923076923078,4
2020-12-15,11,17,1,1,1,26,5,7,1,13,2,5,8,2,3,0,0,0,0.2692307692307692,0.2,5
2020-12-16,0,15,1,1,1,9,13,4,3,2,7,13,13,1,3,1,0,0,0.4444444444444444,0.23076923076923078,5
2020-12-16,8,13,5,2,2,25,10,10,4,7,4,10,13,3,1,0,0,3,0.4,0.4,4
2020-12-16,9,6,0,2,0,14,11,2,6,4,6,12,9,2,3,0,0,-2,0.14285714285714285,0.5454545454545454,5
2020-12-16,7,2,0,0,1,9,9,4,4,1,8,15,11,1,0,0,0,0,0.4444444444444444,0.4444444444444444,1
2020-12-16,10,16,2,1,2,17,8,11,2,7,4,8,9,0,2,0,0,1,0.6470588235294118,0.25,2
2020-12-16,18,5,1,1,1,9,8,2,2,5,3,8,12,0,1,0,1,0,0.2222222222222222,0.25,2
2020-12-17,1,3,0,0,1,27,6,7,4,11,1,17,19,1,1,0,0,0,0.25925925925925924,0.6666666666666666,2
2020-12-17,14,12,2,3,0,12,14,6,8,6,3,17,8,3,2,0,0,-1,0.5,0.5714285714285714,5
2020-12-19,5,10,0,7,0,5,14,3,8,5,4,5,11,1,0,0,0,-7,0.6,0.5714285714285714,1
2020-12-19,15,11,0,1,0,9,11,3,5,6,6,9,11,2,2,0,0,-1,0.3333333333333333,0.45454545454545453,4
2020-12-19,6,0,2,1,2,9,13,2,2,4,3,9,9,1,3,0,0,1,0.2222222222222222,0.15384615384615385,4
2020-12-19,13,7,1,1,1,12,11,5,4,2,9,7,17,1,2,0,1,0,0.4166666666666667,0.36363636363636365,4
2020-12-20,2,14,1,1,1,21,5,5,3,14,2,9,11,1,5,0,1,0,0.23809523809523808,0.6,7
2020-12-20,16,9,0,2,0,8,17,3,4,5,3,15,14,2,2,0,0,-2,0.375,0.23529411764705882,4
2020-12-20,12,8,6,2,2,26,17,14,3,11,13,6,6,1,0,0,0,4,0.5384615384615384,0.17647058823529413,1
2020-12-20,17,1,0,3,0,1,19,1,10,1,7,14,8,1,2,1,0,-3,1.0,0.5263157894736842,4
2020-12-21,3,19,2,1,2,10,15,4,3,1,7,11,15,2,1,0,0,1,0.4,0.2,3
2020-12-21,4,18,3,0,2,11,6,7,0,5,4,11,6,0,0,0,0,3,0.6363636363636364,0.0,0
2020-12-26,9,12,2,2,1,10,9,2,4,5,0,10,17,2,1,0,0,0,0.2,0.4444444444444444,3
2020-12-26,1,5,3,0,2,21,13,10,6,4,4,18,16,1,4,1,0,3,0.47619047619047616,0.46153846153846156,6
2020-12-26,7,15,0,0,1,10,3,1,2,6,3,15,12,2,0,0,0,0,0.1,0.6666666666666666,2
2020-12-26,0,4,3,1,2,15,19,7,3,7,9,13,10,2,1,0,0,2,0.4666666666666667,0.15789473684210525,3
2020-12-26,11,13,2,0,2,11,7,6,2,7,3,5,12,2,2,0,0,2,0.5454545454545454,0.2857142857142857,4
2020-12-26,14,6,0,1,0,10,7,2,3,6,3,11,10,2,4,0,0,-1,0.2,0.42857142857142855,6
2020-12-27,8,3,1,0,2,11,14,4,6,4,12,8,14,0,3,0,0,1,0.36363636363636365,0.42857142857142855,3
2020-12-27,18,2,2,2,1,11,13,4,4,5,4,6,8,0,0,0,0,0,0.36363636363636365,0.3076923076923077,0
2020-12-27,10,17,1,1,1,17,5,2,3,8,3,8,5,0,1,0,0,0,0.11764705882352941,0.6,1
2020-12-27,19,16,1,1,1,11,6,6,3,9,2,20,13,4,1,0,0,0,0.5454545454545454,0.5,5
2020-12-28,5,9,1,1,1,4,17,1,3,2,5,10,7,0,1,0,0,0,0.25,0.17647058823529413,1
2020-12-28,4,1,1,1,1,16,10,5,2,11,4,16,3,3,1,0,0,0,0.3125,0.2,4
2020-12-29,2,0,0,1,0,13,11,2,3,5,4,11,4,2,0,0,0,-1,0.15384615384615385,0.2727272727272727,2
2020-12-29,3,14,1,0,2,5,7,3,3,3,5,13,17,1,2,0,0,1,0.6,0.42857142857142855,3
2020-12-29,15,18,0,0,1,8,8,3,3,4,3,16,15,3,1,0,0,0,0.375,0.375,4
2020-12-29,17,8,0,5,0,4,14,1,6,3,10,7,10,0,1,0,0,-5,0.25,0.42857142857142855,1
2020-12-29,12,19,1,0,2,11,9,3,5,2,2,11,7,1,1,0,0,1,0.2727272727272727,0.5555555555555556,2
2020-12-30,13,10,0,0,1,8,11,2,4,5,12,9,13,2,3,0,0,0,0.25,0.36363636363636365,5
2021-01-01,6,18,0,1,0,10,11,2,5,5,4,9,7,2,0,0,0,-1,0.2,0.45454545454545453,2
2021-01-01,12,1,2,1,2,19,5,9,5,5,10,22,10,4,0,0,0,1,0.47368421052631576,1.0,4
2021-01-02,16,8,3,0,2,20,18,7,5,3,5,15,13,2,1,1,0,3,0.35,0.2777777777777778,4
2021-01-02,5,14,2,0,2,9,7,4,2,3,6,8,18,1,3,0,0,2,0.4444444444444444,0.2857142857142857,4
2021-01-02,2,19,3,3,1,13,11,4,4,5,8,13,8,2,1,0,0,0,0.3076923076923077,0.36363636363636365,3
2021-01-02,17,0,0,4,0,7,21,3,12,3,5,7,4,1,2,0,0,-4,0.42857142857142855,0.5714285714285714,3
2021-01-03,13,9,1,2,0,8,9,2,3,3,6,10,11,0,2,0,0,-1,0.25,0.3333333333333333,2
2021-01-03,4,11,1,3,0,9,18,2,6,5,3,11,10,3,1,0,0,-2,0.2222222222222222,0.3333333333333333,4
2021-01-04,15,10,1,0,2,7,17,3,1,1,10,5,12,1,3,0,0,1,0.42857142857142855,0.058823529411764705,4
2021-01-12,14,13,1,0,2,17,7,4,3,5,2,13,12,2,3,0,1,1,0.23529411764705882,0.42857142857142855,6
2021-01-12,3,12,0,1,0,11,13,0,7,3,4,15,13,1,2,0,0,-1,0.0,0.5384615384615384,3
2021-01-12,19,6,1,2,0,12,5,3,3,6,5,6,11,2,2,0,0,-1,0.25,0.6,4
2021-01-13,11,2,1,0,2,16,5,6,1,8,4,4,12,0,2,0,0,1,0.375,0.2,2
2021-01-13,16,7,1,1,1,15,15,6,4,6,5,13,15,1,2,0,0,0,0.4,0.26666666666666666,3
2021-01-14,0,5,0,0,1,11,12,4,2,7,3,10,11,1,1,0,0,0,0.36363636363636365,0.16666666666666666,2
2021-01-16,19,17,2,3,0,23,12,6,5,11,0,10,14,2,1,0,0,-1,0.2608695652173913,0.4166666666666667,3
2021-01-16,8,2,0,1,0,7,7,2,2,5,2,8,9,1,1,0,0,-1,0.2857142857142857,0.2857142857142857,2
2021-01-16,18,3,1,0,2,15,10,4,2,7,4,12,9,2,1,0,0,1,0.26666666666666666,0.2,3
2021-01-16,7,4,0,1,0,10,21,3,6,1,12,11,10,2,3,1,0,-1,0.3,0.2857142857142857,6
2021-01-16,9,15,2,0,2,16,8,5,3,2,5,10,11,2,2,0,0,2,0.3125,0.375,4
2021-01-17,14,16,1,3,0,15,14,5,5,5,7,13,4,4,0,0,0,-2,0.3333333333333333,0.35714285714285715,4
2021-01-17,10,12,0,0,1,17,8,3,4,7,3,15,6,2,1,0,0,0,0.17647058823529413,0.5,3
2021-01-17,11,5,4,0,2,13,2,6,0,11,1,9,8,0,0,0,0,4,0.46153846153846156,0.0,0
2021-01-18,0,13,3,0,2,20,4,6,1,7,2,9,8,0,0,0,0,3,0.3,0.25,0
2021-01-19,18,17,2,1,2,14,6,6,2,3,1,10,10,0,1,0,0,1,0.42857142857142855,0.3333333333333333,1
2021-01-19,9,4,2,0,2,8,9,6,5,6,3,7,16,1,3,0,0,2,0.75,0.5555555555555556,4
2021-01-20,11,1,2,0,2,28,11,9,4,16,2,10,9,0,2,0,0,2,0.32142857142857145,0.36363636363636365,2
2021-01-20,7,12,1,2,0,12,15,5,5,2,8,6,10,3,1,0,0,-1,0.4166666666666667,0.3333333333333333,4
2021-01-21,10,3,0,1,0,27,6,6,4,12,0,11,8,2,1,0,0,-1,0.2222222222222222,0.6666666666666666,3
2021-01-23,1,13,2,0,2,14,7,5,1,5,4,9,18,0,3,0,0,2,0.35714285714285715,0.14285714285714285,3
2021-01-26,5,18,2,3,0,6,17,3,7,3,4,9,8,0,0,0,0,-1,0.5,0.4117647058823529,0
2021-01-26,13,8,1,2,0,22,9,5,2,9,5,10,15,1,3,0,0,-1,0.22727272727272727,0.2222222222222222,4
2021-01-26,15,0,1,3,0,13,9,5,5,4,5,11,6,1,2,0,0,-2,0.38461538461538464,0.5555555555555556,3
2021-01-26,17,11,0,5,0,4,18,1,7,3,8,8,8,2,0,0,0,-5,0.25,0.3888888888888889,2
2021-01-27,3,1,3,2,2,10,18,5,10,2,4,16,7,1,0,0,0,1,0.5,0.5555555555555556,1
2021-01-27,4,19,0,0,1,14,4,5,0,13,1,14,7,1,1,0,0,0,0.35714285714285715,0.0,2
