Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2000-08-19,11,24,4,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-19,12,41,4,2,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-19,21,16,2,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-19,23,7,1,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-19,36,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-19,38,20,3,1,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-20,25,28,2,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000-08-21,0,23,2,0,0,0,1,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5
2000-08-22,7,12,2,0,0,0,4,1,2,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,1.0,-1.5,-1.5
2000-08-23,16,11,3,0,0,0,4,2,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,2.0,-1.5,-1.5
2000-08-23,24,36,4,2,0,0,1,4,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-2.0,0.5,-1.5,-1.5
2000-08-23,28,15,3,2,0,0,2,2,2,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5
2000-08-26,0,11,5,3,0,0,4,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,2.0,-1.5,-1.5
2000-08-26,20,36,1,0,0,2,3,4,4,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
2000-08-26,28,38,2,0,0,3,4,4,2,1.0,1.3333333333333333,3.0,3,4,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.3333333333333333
2000-05-09,25,7,6,0,0,5,2,3,1,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25
2000-05-09,38,16,3,2,0,4,5,4,4,1.0,1.0,4.0,4,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0
2000-06-09,22,20,2,1,0,1,3,0,4,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0.25
2000-06-09,23,1,3,1,0,4,2,5,4,1.0,0.5,4.0,4,2,0,0,0,0,0,0,0,0,-0.25,-0.5,0.5,0.5
2000-09-09,22,34,1,0,0,3,7,1,8,1.6,0.6,5.0,8,3,0,0,0,0,0,0,0,0,0.4,-0.2,1.0,1.0
2000-09-09,23,24,3,2,0,7,7,6,9,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,0.2
