HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,Year,Month,Day
Charlton,Man City,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Chelsea,West Ham,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Coventry,Middlesbrough,NH,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Derby,Southampton,NH,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Leeds,Everton,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Leicester,Aston Villa,NH,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Liverpool,Bradford,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Sunderland,Arsenal,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Tottenham,Ipswich,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,19
Man United,Newcastle,H,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2000,8,20
Arsenal,Liverpool,H,0,1,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,2000,8,21
Bradford,Chelsea,H,0,4,1,2,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,1.0,-1.5,-1.5,2000,8,22
Ipswich,Man United,NH,1,2,3,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,1.0,-1.5,-1.5,2000,8,22
Middlesbrough,Tottenham,NH,3,3,1,1,1.5,1.5,2.0,3,3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,2000,8,22
Everton,Charlton,H,0,4,2,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,2.0,-1.5,-1.5,2000,8,23
Man City,Sunderland,H,0,1,4,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-2.0,0.5,-1.5,-1.5,2000,8,23
Newcastle,Derby,H,0,2,2,2,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5,2000,8,23
Southampton,Coventry,NH,2,1,2,3,0.5,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.5,2000,8,23
West Ham,Leicester,NH,2,0,4,0,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5,2000,8,23
Arsenal,Charlton,H,0,4,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,2.0,-1.5,-1.5,2000,8,26
Bradford,Leicester,NH,2,1,1,0,1.0,1.3333333333333333,3.0,3,4,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,2000,8,26
Everton,Derby,NH,3,4,2,5,1.0,0.3333333333333333,3.0,3,1,0,0,0,0,0,0,0,0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666,2000,8,26
Ipswich,Sunderland,H,2,3,4,4,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,2000,8,26
Man City,Coventry,NH,4,3,6,4,1.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,0.0,0.0,2000,8,26
Middlesbrough,Leeds,NH,4,4,2,1,1.3333333333333333,2.0,3.0,4,6,0,0,0,0,0,0,0,0,0.6666666666666666,1.0,-0.6666666666666666,-0.6666666666666666,2000,8,26
Newcastle,Tottenham,H,3,4,4,2,1.0,1.3333333333333333,3.0,3,4,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,2000,8,26
Southampton,Liverpool,NH,3,1,4,2,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,2000,8,26
West Ham,Man United,NH,2,3,5,1,0.0,1.3333333333333333,3.0,0,4,0,0,0,0,0,0,0,0,-1.0,0.6666666666666666,-1.3333333333333333,-1.3333333333333333,2000,8,26
Aston Villa,Chelsea,NH,1,4,1,4,0.6666666666666666,1.0,3.0,2,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,2000,8,27
Leeds,Man City,NH,4,4,1,6,2.0,1.0,3.0,6,3,0,0,0,0,0,0,0,0,1.0,-0.6666666666666666,1.0,1.0,2000,5,9
Man United,Bradford,H,5,2,3,1,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25,2000,5,9
