variant,execution,period,strategy,n_bets,n_seasons,hit_rate,avg_odds,avg_edge,total_staked,total_profit,roi_on_turnover,final_bankroll,bankroll_growth,max_drawdown,sharpe_per_bet,flat_stake_roi,market_overround,roi_ci_low,roi_ci_high,p_roi_not_positive
rf_isotonic,odds,calibration,rf_isotonic|odds|calibration,347,6,0.3804,2.904,0.0953,7305.13,188.29,0.0258,1188.29,0.1883,-0.4962,0.0308,0.0427,0.0281,-0.1677,0.2074,0.3514
rf_isotonic,odds,holdout,rf_isotonic|odds|holdout,316,6,0.3259,2.912,0.0961,4838.71,-504.05,-0.1042,495.95,-0.504,-0.5126,-0.0765,-0.1023,0.0422,-0.2303,0.0069,0.9691
rf_isotonic,best_odds,calibration,rf_isotonic|best_odds|calibration,322,6,0.3882,2.873,0.0981,8120.95,309.08,0.0381,1309.08,0.3091,-0.4952,0.046,0.0638,-0.0031,-0.1886,0.3047,0.3383
rf_isotonic,best_odds,holdout,rf_isotonic|best_odds|holdout,279,6,0.2939,2.951,0.0979,4095.03,-669.04,-0.1634,330.96,-0.669,-0.6847,-0.1428,-0.1852,0.0018,-0.4076,-0.0517,0.9971
rf_uncalibrated,odds,calibration,rf_uncalibrated|odds|calibration,640,6,0.3016,3.498,0.0712,14865.83,133.91,0.009,1133.91,0.1339,-0.5329,0.0149,0.0239,0.0281,-0.0843,0.1116,0.3106
rf_uncalibrated,odds,holdout,rf_uncalibrated|odds|holdout,504,6,0.2599,3.569,0.0692,5313.7,-679.13,-0.1278,320.87,-0.6791,-0.7566,-0.0655,-0.1011,0.0422,-0.1641,-0.0271,0.9978
rf_uncalibrated,best_odds,calibration,rf_uncalibrated|best_odds|calibration,493,6,0.3144,3.374,0.0756,14257.03,251.84,0.0177,1251.84,0.2518,-0.5239,0.0292,0.0458,-0.0031,-0.0582,0.1259,0.1882
rf_uncalibrated,best_odds,holdout,rf_uncalibrated|best_odds|holdout,400,6,0.2775,3.494,0.0728,5055.32,-405.78,-0.0803,594.22,-0.4058,-0.6131,-0.0238,-0.0375,0.0018,-0.1229,0.132,0.6137
xgb_isotonic,odds,calibration,xgb_isotonic|odds|calibration,645,6,0.3581,2.99,0.0891,10985.74,-47.63,-0.0043,952.37,-0.0476,-0.7337,0.0045,0.0063,0.0281,-0.1416,0.1858,0.3736
xgb_isotonic,odds,holdout,xgb_isotonic|odds|holdout,641,6,0.3292,2.975,0.09,8999.36,-660.17,-0.0734,339.83,-0.6602,-0.7248,-0.0536,-0.0737,0.0422,-0.1753,-0.0093,0.9902
xgb_isotonic,best_odds,calibration,xgb_isotonic|best_odds|calibration,367,6,0.3869,2.943,0.0977,9658.86,606.21,0.0628,1606.21,0.6062,-0.4949,0.0588,0.0827,-0.0031,-0.073,0.3283,0.127
xgb_isotonic,best_odds,holdout,xgb_isotonic|best_odds|holdout,340,6,0.3088,3.039,0.0969,6324.0,-541.26,-0.0856,458.74,-0.5413,-0.6523,-0.0705,-0.0978,0.0018,-0.3351,0.0725,0.8956
xgb_sigmoid,odds,calibration,xgb_sigmoid|odds|calibration,445,6,0.3685,3.001,0.1008,8223.86,430.7,0.0524,1430.7,0.4307,-0.6088,0.0422,0.0605,0.0281,-0.1227,0.2354,0.2037
xgb_sigmoid,odds,holdout,xgb_sigmoid|odds|holdout,440,6,0.3159,2.973,0.1026,5904.12,-639.18,-0.1083,360.82,-0.6392,-0.6807,-0.0771,-0.105,0.0422,-0.1459,-0.069,1.0
xgb_sigmoid,best_odds,calibration,xgb_sigmoid|best_odds|calibration,356,6,0.3848,2.964,0.0967,8798.39,839.86,0.0955,1839.86,0.8399,-0.5269,0.074,0.1065,-0.0031,-0.0901,0.3382,0.1154
xgb_sigmoid,best_odds,holdout,xgb_sigmoid|best_odds|holdout,337,6,0.3412,2.991,0.0976,8245.34,-167.16,-0.0203,832.84,-0.1672,-0.4566,-0.0079,-0.0111,0.0018,-0.1801,0.1319,0.6418
xgb_uncalibrated,odds,calibration,xgb_uncalibrated|odds|calibration,597,6,0.3568,3.138,0.0736,13447.45,403.4,0.03,1403.4,0.4034,-0.3662,0.044,0.0668,0.0281,-0.0498,0.1789,0.1249
xgb_uncalibrated,odds,holdout,xgb_uncalibrated|odds|holdout,633,6,0.3365,3.3,0.0676,9547.71,50.34,0.0053,1050.34,0.0503,-0.4664,0.0054,0.0081,0.0422,-0.0971,0.1303,0.3883
xgb_uncalibrated,best_odds,calibration,xgb_uncalibrated|best_odds|calibration,826,6,0.3753,3.078,0.0664,24983.69,1446.51,0.0579,2446.51,1.4465,-0.3378,0.0628,0.0939,-0.0031,-0.0108,0.1935,0.0466
xgb_uncalibrated,best_odds,holdout,xgb_uncalibrated|best_odds|holdout,877,6,0.3375,3.289,0.0615,14145.11,35.29,0.0025,1035.29,0.0353,-0.5389,0.0099,0.0148,0.0018,-0.0921,0.127,0.3792
