Season,n_bets,hit_rate,staked,profit,roi,cumulative_profit
2013/14,157,0.3758,3388.9048,154.4297,0.0456,154.4297
2014/15,193,0.3679,3830.6812,-106.9152,-0.0279,47.5145
2015/16,193,0.3938,3922.5538,342.7155,0.0874,390.23
2016/17,174,0.3218,4194.8149,-212.9066,-0.0508,177.3235
2017/18,163,0.4172,5247.9795,952.7989,0.1816,1130.1223
2018/19,179,0.3408,7063.6704,-49.1244,-0.007,1080.9979
2019/20,178,0.3539,7037.1138,979.3771,0.1392,2060.375
2020/21,192,0.375,16319.7872,3131.1227,0.1919,5191.4977
2021/22,184,0.2989,16520.7893,-1847.3731,-0.1118,3344.1246
2022/23,173,0.3873,21952.2655,3159.8227,0.1439,6503.9473
2023/24,193,0.3161,21226.2665,-1051.0765,-0.0495,5452.8708
2024/25,175,0.3429,20482.7238,875.2414,0.0427,6328.1122
