min_relative_edge,max_relative_edge,max_odds,n_bets,roi
0.1,0.3,5.0,826,0.09391041162227602
0.1,0.3,6.5,895,0.09215642458100559
0.05,0.3,5.0,891,0.08675645342312009
0.05,0.3,6.5,960,0.08563541666666666
0.15,0.3,5.0,589,0.08064516129032258
0.15,0.3,6.5,658,0.07965045592705167
0.1,0.4,5.0,1059,0.07079320113314448
0.1,0.5,5.0,1197,0.07046783625730994
0.1,0.4,6.5,1162,0.07012048192771085
0.05,0.5,5.0,1262,0.06662440570522978
0.05,0.4,5.0,1124,0.06645907473309608
0.05,0.4,6.5,1227,0.06618581907090464
0.1,0.3,4.0,711,0.06049226441631503
0.1,0.75,5.0,1309,0.056921313980137514
0.15,0.5,5.0,960,0.056541666666666664
0.15,0.4,6.5,925,0.055578378378378375
0.05,0.3,4.0,776,0.05507731958762886
0.15,0.4,5.0,822,0.05462287104622871
0.05,0.75,5.0,1374,0.05403202328966522
0.1,0.75,6.5,1500,0.049706666666666656
0.05,0.75,6.5,1565,0.04746964856230031
0.1,0.5,6.5,1340,0.04702238805970148
0.1,0.4,4.0,907,0.0466593164277839
0.05,0.5,6.5,1405,0.04465480427046264
0.05,0.4,4.0,972,0.04326131687242798
0.15,0.75,5.0,1072,0.041455223880597
0.1,0.5,4.0,1004,0.04114541832669323
0.1,0.75,4.0,1085,0.04107834101382488
0.05,0.75,4.0,1150,0.038521739130434794
0.05,0.5,4.0,1069,0.03839101964452761
0.15,0.3,4.0,487,0.03546201232032855
0.15,0.75,6.5,1263,0.035225653206650824
0.15,0.5,6.5,1103,0.029864007252946512
0.15,0.4,4.0,683,0.024275256222547587
0.15,0.75,4.0,861,0.021869918699186988
0.15,0.5,4.0,780,0.01996153846153846
0.2,0.5,5.0,724,0.011104972375690607
0.2,0.3,5.0,353,0.003569405099150131
0.2,0.75,5.0,836,-0.002153110047846897
0.2,0.4,5.0,586,-0.00228668941979524
0.2,0.75,4.0,663,-0.011297134238310698
0.2,0.4,6.5,675,-0.014607407407407406
0.2,0.75,6.5,1013,-0.01656465942744324
0.2,0.5,4.0,582,-0.01847079037800687
0.2,0.4,4.0,485,-0.02008247422680412
0.2,0.3,6.5,408,-0.02171568627450982
0.2,0.5,6.5,853,-0.03321219226260259
